               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  89,              1.6118,               1.096,              1.1766,             0.54677,             0.42709,             0.44439,             0.27288,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              1.6107,              1.1003,              1.1767,             0.55635,             0.42059,              0.4439,             0.27271,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,               1.611,              1.0927,              1.1795,             0.55425,              0.4231,             0.44418,             0.27344,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              1.6054,               1.087,              1.1747,             0.56032,             0.42509,             0.44548,             0.27381,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              1.6102,              1.0992,               1.178,             0.55211,             0.42759,              0.4462,             0.27416,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,              1.6069,              1.0888,              1.1717,             0.55474,              0.4259,             0.44696,             0.27416,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,              1.6093,              1.0873,               1.173,              0.5571,             0.42628,             0.44719,             0.27455,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,              1.6087,              1.0904,              1.1751,             0.55202,             0.42967,             0.44894,             0.27569,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              1.6136,              1.0901,              1.1764,             0.54786,              0.4313,             0.44933,             0.27608,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              1.5962,              1.0791,              1.1733,             0.55974,             0.42366,             0.44967,              0.2761,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,              1.6039,              1.0762,              1.1728,             0.56456,             0.42539,             0.45029,             0.27641,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              1.6018,              1.0753,              1.1736,             0.56355,             0.42584,             0.45154,             0.27723,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              1.6025,                1.08,              1.1739,             0.56355,             0.43027,              0.4517,              0.2774,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              1.5997,               1.073,               1.171,             0.55677,             0.42921,             0.45184,             0.27834,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,               1.596,              1.0747,              1.1743,             0.55556,             0.43214,             0.45368,             0.27916,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,              1.5902,               1.069,              1.1717,              0.5606,              0.4316,             0.45438,             0.27968,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              1.5925,              1.0698,              1.1693,             0.55564,             0.43706,             0.45431,             0.27969,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,              1.6037,              1.0718,              1.1729,             0.56099,             0.43367,             0.45332,             0.27987,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,              1.5866,              1.0632,              1.1681,              0.5677,             0.43012,             0.45555,             0.28101,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,              1.5802,               1.058,                1.17,              0.5702,             0.43085,             0.45589,              0.2811,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,              1.5867,              1.0619,              1.1706,             0.56964,             0.43149,             0.45669,             0.28176,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,              1.5837,              1.0581,              1.1653,             0.56645,             0.43347,             0.45701,             0.28192,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,              1.5844,              1.0627,              1.1689,             0.56563,             0.43736,             0.45838,             0.28268,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,              1.5784,              1.0574,              1.1669,             0.57002,             0.43634,             0.45784,             0.28217,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,              1.5862,              1.0605,              1.1685,             0.56539,             0.43569,              0.4572,             0.28242,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,              1.5749,              1.0503,              1.1653,             0.56336,             0.43583,             0.45659,             0.28194,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              1.5866,              1.0561,              1.1671,             0.55982,             0.43794,             0.45672,             0.28199,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,              1.5767,              1.0508,              1.1635,              0.5588,             0.44074,             0.45805,             0.28286,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,               1.575,              1.0504,              1.1677,             0.55903,             0.43989,              0.4575,              0.2828,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,              1.5698,              1.0464,              1.1637,             0.56078,             0.43757,             0.45669,             0.28246,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,              1.5744,              1.0478,              1.1643,             0.56235,             0.43813,             0.45742,             0.28229,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,              1.5722,              1.0438,              1.1598,             0.56703,             0.43595,             0.45761,             0.28203,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              1.5838,              1.0494,              1.1653,             0.56528,             0.43767,             0.45848,             0.28253,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,               1.572,               1.039,              1.1672,             0.56492,              0.4384,              0.4586,             0.28232,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,              1.5791,              1.0435,              1.1621,             0.56557,             0.43634,             0.45866,             0.28255,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,              1.5795,              1.0448,              1.1676,             0.56952,             0.43263,             0.45834,             0.28275,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              1.5596,              1.0352,               1.165,             0.56353,             0.43705,             0.45851,             0.28276,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,              1.5595,              1.0263,              1.1632,             0.56112,             0.43853,               0.459,             0.28338,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,              1.5628,              1.0311,              1.1615,             0.56231,             0.43853,             0.45971,             0.28346,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,              1.5714,              1.0402,               1.161,             0.56186,             0.43765,             0.45888,             0.28356,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,              1.5613,              1.0268,              1.1607,             0.56461,             0.44033,             0.45936,             0.28386,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,              1.5612,              1.0273,              1.1601,             0.56282,             0.43991,             0.45954,              0.2838,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,              1.5512,              1.0184,              1.1598,             0.56334,             0.43898,             0.45955,             0.28387,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,              1.5552,              1.0243,              1.1633,             0.56075,              0.4404,             0.45977,               0.284,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,              1.5638,              1.0272,              1.1615,             0.56212,             0.43962,             0.45978,             0.28386,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,              1.5501,              1.0207,              1.1587,             0.56282,             0.43893,             0.45976,             0.28391,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,              1.5553,              1.0218,              1.1628,              0.5608,             0.44084,             0.45984,             0.28432,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,              1.5583,              1.0259,              1.1601,             0.56388,             0.43841,             0.45906,               0.284,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,               1.552,              1.0187,              1.1569,             0.56736,             0.43685,             0.45947,             0.28416,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,               1.554,              1.0182,              1.1616,             0.56882,             0.43586,             0.46017,             0.28444,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,              1.5504,              1.0148,              1.1597,             0.57078,             0.43526,             0.46054,             0.28434,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,              1.5527,              1.0146,              1.1611,             0.56681,             0.43772,              0.4603,             0.28448,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,              1.5485,              1.0174,               1.158,             0.56352,             0.44092,             0.46126,             0.28465,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,              1.5535,              1.0164,              1.1597,             0.55903,             0.44241,             0.46103,             0.28494,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,              1.5444,               1.007,              1.1557,             0.56013,             0.44146,             0.46134,             0.28512,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,               1.547,              1.0141,              1.1607,             0.56471,             0.44082,             0.46152,             0.28518,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,              1.5468,              1.0085,              1.1573,             0.56707,             0.44052,             0.46205,             0.28554,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,              1.5408,              1.0073,              1.1567,             0.56855,             0.44101,             0.46275,              0.2855,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,              1.5377,             0.99939,              1.1596,             0.56782,              0.4419,             0.46311,             0.28557,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,              1.5558,              1.0109,              1.1589,              0.5621,             0.44429,              0.4636,               0.286,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,              1.5355,             0.99959,              1.1579,              0.5624,             0.44367,             0.46349,             0.28607,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,              1.5463,              1.0007,              1.1559,             0.56534,             0.44187,             0.46318,             0.28612,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              1.5522,              1.0151,              1.1575,             0.56553,             0.44156,             0.46323,             0.28609,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
